name,category,unit,cost_price,base_price,tax_percent,stock,image_url,featured,active,description
"Labial Líquido Mate - Rojo Pasión","Labios","Unidad",14000,28000,19,40,"https://d8j0ntlcm91z4.cloudfront.net/user_3H8VPOIlKTSsf171GizUHRYwT0M/hf_20260919_005914_d6aa2808-31de-43c9-a278-1fd84624a5db.png",true,true,"Acabado mate de larga duración en un rojo intenso, ideal para looks de alto impacto."
"Labial Líquido Mate - Nude Chic","Labios","Unidad",14000,28000,19,35,"https://d8j0ntlcm91z4.cloudfront.net/user_3H8VPOIlKTSsf171GizUHRYwT0M/hf_20260919_005914_b70caf2b-43f2-4d5d-8ed7-01872bdb7e42.png",false,true,"Tono nude versátil que combina con cualquier ocasión, cobertura completa."
"Labial en Barra Hidratante - Coral Vivo","Labios","Unidad",12000,24000,19,30,"https://d8j0ntlcm91z4.cloudfront.net/user_3H8VPOIlKTSsf171GizUHRYwT0M/hf_20260919_005914_a8ddaae0-f6b6-4649-bec6-437b056ce9b1.png",false,true,"Fórmula hidratante enriquecida, color coral vibrante con acabado satinado."
"Gloss Brillo Espejo - Frutos Rojos","Labios","Unidad",9000,19000,19,45,"https://d8j0ntlcm91z4.cloudfront.net/user_3H8VPOIlKTSsf171GizUHRYwT0M/hf_20260919_005914_519b1756-d76b-45b0-aab5-2983556551ed.png",false,true,"Brillo espejo no pegajoso con un ligero tinte de frutos rojos."
"Delineador de Labios - Ciruela","Labios","Unidad",6500,15000,19,30,"https://d8j0ntlcm91z4.cloudfront.net/user_3H8VPOIlKTSsf171GizUHRYwT0M/hf_20260919_005914_4de21725-222b-4e40-b2b7-8f8ec615ae64.png",false,true,"Trazo preciso y de larga duración para perfilar y rellenar labios."
"Base Líquida Efecto Natural - Tono Claro","Rostro","Unidad",26000,48000,19,25,"https://d8j0ntlcm91z4.cloudfront.net/user_3H8VPOIlKTSsf171GizUHRYwT0M/hf_20260919_005914_df07d78d-8329-4cfc-9ecd-91d30beb4ec7.png",true,true,"Cobertura media buildable con acabado natural, para piel clara."
"Base Líquida Efecto Natural - Tono Medio","Rostro","Unidad",26000,48000,19,25,"https://d8j0ntlcm91z4.cloudfront.net/user_3H8VPOIlKTSsf171GizUHRYwT0M/hf_20260919_005914_543414f1-ad81-4398-ba1f-f72635719290.png",false,true,"Cobertura media buildable con acabado natural, para piel media."
"Base Líquida Efecto Natural - Tono Oscuro","Rostro","Unidad",26000,48000,19,20,"https://d8j0ntlcm91z4.cloudfront.net/user_3H8VPOIlKTSsf171GizUHRYwT0M/hf_20260919_005914_a64491f6-1deb-4791-8ea7-b1702fb45661.png",false,true,"Cobertura media buildable con acabado natural, para piel oscura."
"Corrector Líquido Alta Cobertura - Claro","Rostro","Unidad",13000,26000,19,30,"https://d8j0ntlcm91z4.cloudfront.net/user_3H8VPOIlKTSsf171GizUHRYwT0M/hf_20260919_005914_b331d3e2-3a53-4b85-87c6-9a05e85a8039.png",false,true,"Corrige ojeras e imperfecciones sin marcar líneas de expresión."
"Rubor en Polvo - Durazno","Rostro","Unidad",11000,24000,19,32,"https://d8j0ntlcm91z4.cloudfront.net/user_3H8VPOIlKTSsf171GizUHRYwT0M/hf_20260919_005914_f63b0c34-636e-48d2-ad20-c45bc97dfa16.png",false,true,"Pigmento suave en tono durazno que aporta un rubor natural y saludable."
"Iluminador en Polvo - Destello Dorado","Rostro","Unidad",15000,30000,19,20,"https://d8j0ntlcm91z4.cloudfront.net/user_3H8VPOIlKTSsf171GizUHRYwT0M/hf_20260919_005929_e5092c88-07c8-493a-816b-054597607589.png",true,true,"Brillo dorado multidimensional para resaltar los puntos altos del rostro."
"Paleta de Sombras - Tonos Tierra","Ojos","Unidad",34000,62000,19,18,"https://d8j0ntlcm91z4.cloudfront.net/user_3H8VPOIlKTSsf171GizUHRYwT0M/hf_20260919_005929_166da45a-1557-4717-aef8-4f238eab28a3.png",true,true,"9 tonos tierra altamente pigmentados, mate y shimmer, para looks del día a la noche."
"Paleta de Sombras - Tonos Vibrantes","Ojos","Unidad",34000,62000,19,18,"https://d8j0ntlcm91z4.cloudfront.net/user_3H8VPOIlKTSsf171GizUHRYwT0M/hf_20260919_005929_1e3ffa8d-5dc2-404b-9788-051726eaebbe.png",false,true,"Paleta de tonos morados, rosas y azules para looks audaces."
"Sombra Individual - Bronce","Ojos","Unidad",6500,15000,19,40,"https://d8j0ntlcm91z4.cloudfront.net/user_3H8VPOIlKTSsf171GizUHRYwT0M/hf_20260919_005929_3bc2b11b-a2d1-4433-b8de-811e6841f9fa.png",false,true,"Pigmento shimmer bronce de alta intensidad, ideal para looks ahumados."
"Delineador Líquido Waterproof - Negro Intenso","Ojos","Unidad",9000,20000,19,35,"https://d8j0ntlcm91z4.cloudfront.net/user_3H8VPOIlKTSsf171GizUHRYwT0M/hf_20260919_005929_40afe991-83a1-4cf6-8915-140beef22301.png",false,true,"Trazo fino resistente al agua, negro intenso de larga duración."
"Máscara de Pestañas Volumen Extremo","Ojos","Unidad",15000,32000,19,30,"https://d8j0ntlcm91z4.cloudfront.net/user_3H8VPOIlKTSsf171GizUHRYwT0M/hf_20260919_005930_f95857f1-dd0b-4698-8046-806f5699b9de.png",true,true,"Cepillo especial para volumen y curvatura extrema sin grumos."
"Gel Fijador de Cejas Transparente","Ojos","Unidad",8000,18000,19,25,"https://d8j0ntlcm91z4.cloudfront.net/user_3H8VPOIlKTSsf171GizUHRYwT0M/hf_20260919_005930_d45efe69-e7f9-49ca-a51f-c3ce1fd93d9c.png",false,true,"Fija y peina las cejas todo el día con acabado natural."
"Set de Brochas Profesionales x8","Brochas y Accesorios","Kit",48000,89000,19,15,"https://d8j0ntlcm91z4.cloudfront.net/user_3H8VPOIlKTSsf171GizUHRYwT0M/hf_20260919_005929_8a39789d-9c7d-4bb5-b77a-c5729bd50906.png",true,true,"8 brochas esenciales para rostro y ojos, cerdas suaves sintéticas."
"Spray Fijador de Maquillaje Larga Duración","Fijadores y Removedores","Unidad",16000,34000,19,22,"https://d8j0ntlcm91z4.cloudfront.net/user_3H8VPOIlKTSsf171GizUHRYwT0M/hf_20260919_005930_54f24109-5f6e-452a-974f-f1b38f2d8db1.png",false,true,"Neblina fina que sella el maquillaje hasta por 16 horas."
"Kit de Iniciación Kori - 5 Piezas","Kits y Sets","Kit",52000,95000,19,12,"https://d8j0ntlcm91z4.cloudfront.net/user_3H8VPOIlKTSsf171GizUHRYwT0M/hf_20260919_005930_9cc9e5f3-f991-487e-b96d-464a379661cd.png",true,true,"Set ideal para empezar: labial, rubor, máscara y más en formato mini."
